file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Leandro Alencar\Desktop\Lab 02 - Experimentação\repo-destino\data\metrics\raw\Leandro_kata 01_COM_IA_20260910T201140969Z\source\TipoVeiculo.java,br.ufc.lab02.estacionamento.TipoVeiculo,getFatorMultiplicador/0,false,14,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Leandro Alencar\Desktop\Lab 02 - Experimentação\repo-destino\data\metrics\raw\Leandro_kata 01_COM_IA_20260910T201140969Z\source\TipoVeiculo.java,br.ufc.lab02.estacionamento.TipoVeiculo,TipoVeiculo/1[double],true,10,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
